issn;e_issn;title;short_title
0002-9238;;The American journal of EEG technology;Am J EEG Technol
0363-5465;1552-3365;The American journal of sports medicine;Am J Sports Med
0001-1843;;American medical news;Am Med News
0002-9602;1537-5390;AJS;Am
0147-5185;1532-0979;The American journal of surgical pathology;Am
0002-9610;1879-1883;American journal of surgery;Am
0002-9718;;American laundry digest;Am Laund Dig
0002-9637;1476-1645;The American journal of tropical medicine and hygiene;Am
0002-9645;1943-5681;American journal of veterinary research;Am
0098-1486;;The American nurse;Am Nurse
0092-5659;;American Lung Association bulletin;Am Lung Assoc Bull
0065-955X;1553-4448;The American orthoptic journal;Am Orthopt J
0003-066X;1935-990X;The American psychologist;Am Psychol
0003-0805;;The American review of respiratory disease;Am
0003-0996;;American scientist;Am
0003-1224;;American sociological review;Am Sociol Rev
0003-1348;1555-9823;The American surgeon;Am Surg
0003-1569;;American zoologist;Am
0001-3765;1678-2690;Anais da Academia Brasileira de Ciencias;An
0365-0596;1806-4841;Anais brasileiros de dermatologia;An Bras Dermatol
0066-1465;;Anales de cirugia;An Cir
0075-9767;;Anais da Escola Nacional de Saude Publica e de Medicina Tropical;An Esc Nacl Saude Publica Med Trop
0190-0471;;Analytical and quantitative cytology;Anal Quant Cytol
0003-2557;;Anales espanoles de odontoestomatologia;An Esp Odontoestomatol
0302-4342;1577-2799;Anales espanoles de pediatria;An
0365-2297;;Anales de la Facultad de Medicina;An Fac Med Univ Repub Montev Urug
0797-034X;;Anales de la Facultad de Odontologia;An Fac Odontol
0083-3908;;Anais da Faculdade de Odontologia da Universidade Federal de Pernambuco;An Fac Odontol Univ Fed Pernambuco
0174-1837;;Anasthesie;Anasth Intensivther Notfallmed
0303-7762;;Anais do Instituto de Higiene e Medicina Tropical;An Inst Hig Med Trop
0365-3307;;Anais do Instituto de Medicina Tropical;An Inst Med Trop
0517-6816;;Anales de medicina;An Med Cir
0517-6832;;Anales de medicina;An Med Espec
0517-6824;;Anales de medicina;An Med Med
0485-1854;;Anais de microbiologia;An Microbiol
0303-8874;;Anales otorrinolaringologicos ibero;An Otorrinolaringol Ibero Am
0003-245X;;Anais paulistas de medicina e cirurgia;An Paul Med Cir
0300-9025;;Anales del Programa Academico de Medicina;An Programa Acad Med
0034-0618;1697-4298;Anales de la Real Academia de Farmacia;An Real Acad Farm
0034-0634;;Anales de la Real Academia Nacional de Medicina;An R Acad Nac Med
0065-9495;;ANA clinical sessions;ANA Clin Sess
0093-0423;;ANA clinical conferences;ANA Clin Conf
0310-057X;1448-0271;Anaesthesia and intensive care;Anaesth Intensive Care
0301-0864;;Anaesthesia;Anaesth Resusc Intensive Ther
0003-2409;1365-2044;Anaesthesia;Anaesthesia
0303-6200;;Anasthesiologische und intensivmedizinische Praxis;Anasthesiol Intensivmed Prax
0003-2417;1432-055X;Der Anaesthesist;Anaesthesist
0003-2697;1096-0309;Analytical biochemistry;Anal
0003-2700;1520-6882;Analytical chemistry;Anal
0003-2670;1873-4324;Analytica chimica acta;Anal
0003-2654;1364-5528;The Analyst;Analyst
0003-2786;;Anatomischer Anzeiger;Anat Anz
0340-2096;1439-0264;Anatomia;Anat Histol Embryol
0340-2061;1432-0568;Anatomy and embryology;Anat
0003-276X;1097-0185;The Anatomical record;Anat
0749-3002;;The Anatomical record;Anat Rec Suppl
0303-4569;1439-0272;Andrologia;Andrologia
0044-930X;;ANEC;ANEC
0003-2999;1526-7598;Anesthesia and analgesia;Anesth
0003-3014;;Anesthesie;Anesth Analg
0003-3006;;Anesthesia progress;Anesth Prog
0003-3022;1528-1175;Anesthesiology;Anesthesiology
0201-7563;;Anesteziologiia i reanimatologiia;Anesteziol Reanimatol
0003-3049;;Angeiologie;Angeiologie
0196-6553;1527-3296;American journal of infection control;Am J Infect Control
1433-7851;1521-3773;Angewandte Chemie;Angew
0003-3162;;Angewandte Parasitologie;Angew Parasitol
0003-3170;;Angiologia;Angiologia
0003-3189;;Angiologica;Angiologica
0003-3197;1940-1574;Angiology;Angiology
0003-3219;1945-7103;The Angle orthodontist;Angle Orthod
0003-3332;;Anglo;Anglo Ger Med Rev
0003-3472;;Animal behaviour;Anim Behav
0003-3480;;Animal blood groups and biochemical genetics;Anim Blood Groups Biochem Genet
0300-5518;;Animal blood groups and biochemical genetics;Anim Blood Groups Biochem Genet Suppl
0268-9146;1365-2052;Animal genetics;Anim
1427-440X;;Annales Academiae Medicae Stetinensis;Ann Acad Med Stetin
0066-1988;;Suomalainen Tiedeakatemia toimituksia;Ann Acad Sci Fenn Biol
1427-4930;;Annales Academiae Medicae Stetinensis;Ann Acad Med Stetin Supl
0066-1996;;Annales Academiae Scientiarum Fennicae;Ann Acad Sci Fenn A
0003-4738;;Annals of allergy;Ann Allergy
0003-3871;;Annales d;Ann Anat Pathol
0003-4061;;Annales de l;Ann Anesthesiol Fr
0003-4746;;The Annals of applied biology;Ann
0004-8895;;Annals of the Australian College of Dental Surgeons;Ann Aust Coll Dent Surg
0196-0644;1097-6760;Annals of emergency medicine;Ann Emerg Med
0003-388X;;Annales de biologie animale;Ann Biol Anim Biochim Biophys
0003-3898;1950-6112;Annales de biologie clinique;Ann
0750-7658;1769-6623;Annales francaises d;Ann Fr Anesth Reanim
0090-6964;1573-9686;Annals of biomedical engineering;Ann Biomed Eng
0003-3928;1768-3181;Annales de cardiologie et d;Ann Cardiol Angeiol
0003-3944;;Annales de chirurgie;Ann Chir
0003-3855;;Annales chirurgiae et gynaecologiae Fenniae;Ann Chir Gynaecol Fenn
0003-3952;;Annales de chirurgie infantile;Ann Chir Infant
0355-9521;;Annales chirurgiae et gynaecologiae;Ann Chir Gynaecol
0355-9874;;Annales chirurgiae et gynaecologiae;Ann Chir Gynaecol Suppl
0066-2038;;Annales chirurgiae et gynaecologiae Fenniae;Ann Chir Gynaecol Fenn Suppl
0003-3960;;Annales de chirurgie plastique;Ann Chir Plast
0294-1260;1768-319X;Annales de chirurgie plastique et esthetique;Ann Chir Plast Esthet
0066-2054;;Annales de chirurgie thoracique et cardio;Ann Chir Thorac Cardiovasc
0002-7162;;The Annals of the American Academy of Political and Social Science;Ann Am Acad Pol Soc Sci
0004-5632;1758-1001;Annals of clinical biochemistry;Ann
0091-7370;1550-8080;Annals of clinical and laboratory science;Ann
0003-4762;;Annals of clinical research;Ann
0304-4602;;Annals of the Academy of Medicine;Ann
0003-4770;;Annals of dentistry;Ann Dent
0003-3979;;Annales de dermatologie et de syphiligraphie;Ann Dermatol Syphiligr
0003-4266;;Annales d;Ann
0013-8746;1938-2901;Annals of the Entomological Society of America;Ann
0066-2070;;Annales de gastroenterologie et d;Ann Gastroenterol Hepatol
0003-3995;;Annales de genetique;Ann
0003-4355;;Annales d;Ann Histochim
0301-4460;1464-5033;Annals of human biology;Ann
0003-4800;1469-1809;Annals of human genetics;Ann
0250-6807;1421-9697;Annals of nutrition;Ann
0300-4910;;Annales d;Ann
0570-1708;;Annales immunologiae Hungaricae;Ann Immunol Hung
0020-2444;;Annales de l;Ann Inst Pasteur
0073-8573;;Annales de l;Ann Inst Pasteur Lille
0250-7005;1791-7530;Anticancer research;Anticancer Res
0252-1032;;Acta de odontologia pediatrica;Acta Odontol Pediatr
0146-6453;1872-969X;Annals of the ICRP;Ann ICRP
0003-4819;1539-3704;Annals of internal medicine;Ann
0021-2431;;Annali dell;Ann Ist Carlo Forlanini
0021-2571;;Annali dell;Ann
0003-469X;2239-253X;Annali italiani di chirurgia;Ann Ital Chir
0066-2267;;Annali di laringologia;Ann Laringol Otol Rinol Faringol
0003-4479;;Annales medicinae experimentalis et biologiae Fenniae;Ann Med Exp Biol Fenn
0365-4362;;Annales medicinae internae Fenniae;Ann Med Intern Fenn
0003-410X;;Annales de medecine interne;Ann Med Interne
0003-4460;;Annales medicales de Nancy;Ann Med Nancy
0392-9418;;Annali di medicina navale;Ann Med Nav
0003-4487;;Annales medico;Ann Med Psychol
0300-5410;;Annales de microbiologie;Ann
0250-9644;1661-3732;Annales Nestle;Ann Nestle Fr
0003-4037;;Annales de la nutrition et de l;Ann Nutr Aliment
0077-8923;1749-6632;Annals of the New York Academy of Sciences;Ann
0003-4878;1475-3162;The Annals of occupational hygiene;Ann Occup Hyg
0003-4371;;Annales d;Ann Ocul
0066-2194;;Annales odonto;Ann Odontostomatol
0003-4886;;Annals of ophthalmology;Ann Ophthalmol
0390-5454;;Annali dell;Ann Osp Maria Vittoria Torino
0300-0087;;Annali di ostetricia;Ann Ostet Ginecol Med Perinat
0003-4894;1943-572X;The Annals of otology;Ann
0096-8056;;The Annals of otology;Ann Otol Rhinol Laryngol Suppl
0003-438X;;Annales d;Ann Otolaryngol Chir Cervicofac
0003-4665;;Annali di ottalmologia e clinica oculistica;Ann Ottalmol Clin Ocul
0151-9638;;Annales de dermatologie et de venereologie;Ann Dermatol Venereol
0365-4966;;Annales paediatrici;Ann Paediatr
0570-1732;;Annales paediatriae Fenniae;Ann Paediatr Fenn
0003-4150;;Annales de parasitologie humaine et comparee;Ann Parasitol Hum Comp
0066-2097;;Annales de pediatrie;Ann Pediatr
0003-4509;;Annales pharmaceutiques francaises;Ann Pharm Fr
0148-7043;1536-3708;Annals of plastic surgery;Ann Plast Surg
0365-5547;;Annals of physical medicine;Ann Phys Med
0035-8843;1478-7083;Annals of the Royal College of Surgeons of England;Ann R Coll Surg Engl
0003-4185;;Annales de radiologie;Ann Radiol
0190-7255;;Annual Conference on Research in Medical Education;Annu Conf Res Med Educ
0003-4673;;Annali di radiologia diagnostica;Ann Radiol Diagn
0892-2543;;Proceedings of the;Proc Annu Conf Res Med Educ
0147-006X;1545-4126;Annual review of neuroscience;Annu
0003-4193;;Annales de recherches veterinaires;Ann
0395-501X;;Archives d;Arch
0003-858X;;Architectural record;Archit Rec
8750-0779;;ANNA journal;ANNA J
0003-4967;1468-2060;Annals of the rheumatic diseases;Ann
0021-3071;;Annali della sanita pubblica;Ann Sanita Pubblica
0772-4128;;Annales de la Societe belge de medecine tropicale;Ann Soc Belg Med Trop
0772-3997;;Annales de la Societe royale des sciences medicales et naturelles de Bruxelles;Ann Soc R Sci Med Nat Brux
1824-0852;1971-1441;Annali di stomatologia;Ann Stomatol
0003-4932;1528-1140;Annals of surgery;Ann
0753-9053;;Annales de chirurgie de la main;Ann Chir Main
0003-4975;1552-6259;The Annals of thoracic surgery;Ann
0003-4983;1364-8594;Annals of tropical medicine and parasitology;Ann Trop Med Parasitol
0066-2240;;Annales Universitatis Mariae Curie;Ann Univ Mariae Curie Sklodowska Med
0235-2990;;Antibiotiki i khimioterapiia;Antibiot
0148-5016;1521-0375;Archives of andrology;Arch
0003-4533;;Annales Universitatis Saraviensis;Ann Univ Sarav Med
0003-4401;1768-3378;Annales d;Ann Urol
0364-5134;1531-8249;Annals of neurology;Ann
0158-1570;;Annals of the Royal Australasian College of Dental Surgeons;Ann R Australas Coll Dent Surg
0272-4936;1465-3281;Annals of tropical paediatrics;Ann Trop Paediatr
0003-5017;;L;Annee Biol
0365-1940;;L;Annee Endocrinol
0003-5033;1955-2580;L;Annee Psychol
0301-4495;;L;Annee Ther Clin Ophtalmol
0148-4699;;Proceedings;Proc Annu Manage Conf Am Dent Assoc
0469-4759;;Annual report of the Research Institute of Environmental Medicine;Annu Rep Res Inst Environ Med Nagoya Univ
0066-4154;1545-4509;Annual review of biochemistry;Annu
0084-6589;;Annual review of biophysics and bioengineering;Annu
0066-4170;1545-4487;Annual review of entomology;Annu
0066-4197;1545-2948;Annual review of genetics;Annu
0066-4219;1545-326X;Annual review of medicine;Annu
0066-4227;1545-3251;Annual review of microbiology;Annu
0066-4243;;Annual review of nuclear science;Annu Rev Nucl Sci
0066-4251;;Annual review of pharmacology;Annu Rev Pharmacol
0362-1642;1545-4304;Annual review of pharmacology and toxicology;Annu
0066-4278;1545-1585;Annual review of physiology;Annu
0197-2251;;Annual review of rehabilitation;Annu Rev Rehabil
0161-9268;1550-5014;ANS;ANS Adv Nurs Sci
0066-4308;1545-2085;Annual review of psychology;Annu Rev Psychol
0065-0676;;ANPHI papers;ANPHI Pap
0003-5548;;Anthropologischer Anzeiger;Anthropol Anz
0066-4758;1662-2863;Antibiotics and chemotherapy;Antibiot Chemother
0003-5629;;Antibiotica;Antibiotica
0003-5637;;Antibiotiki;Antibiotiki
0233-7525;;Antibiotiki i meditsinskaia biotekhnologiia;Antibiot
0066-4804;1098-6596;Antimicrobial agents and chemotherapy;Antimicrob
0044-8389;;Antioquia medica;Antioquia Med
0166-3542;1872-9096;Antiviral research;Antiviral Res
0003-6072;1572-9699;Antonie van Leeuwenhoek;Antonie Van Leeuwenhoek
0001-2092;1878-0369;AORN journal;AORN J
0003-6439;;Apex;Apex
0518-1372;;Apollonia;Apollonia
0066-5339;;Apollonia;Apollonia
0161-8717;;APIC;APIC
0195-6663;1095-8304;Appetite;Appetite
0003-6919;;Applied microbiology;Appl Microbiol
0099-2240;1098-5336;Applied and environmental microbiology;Appl
0738-6974;;Administrative radiology;Adm Radiol
0273-2289;1559-0291;Applied biochemistry and biotechnology;Appl
0302-2773;;Applied neurophysiology;Appl Neurophysiol
0270-3092;;Applied research in mental retardation;Appl Res Ment Retard
0570-4944;;Applied therapeutics;Appl Ther
0066-5665;;Arbeiten aus dem Paul;Arb Paul Ehrlich Inst Georg Speyer Haus Ferdinand Blum Inst Frankf A M
0897-1897;1532-8201;Applied nursing research;Appl Nurs Res
0249-5554;;Archives d;Arch Anat Histol Embryol
0003-9594;;Archives d;Arch Anat Microsc Morphol Exp
0003-9608;;Archives d;Arch Anat Pathol
0066-6750;2314-3355;Archivos argentinos de dermatologia;Arch Argent Dermatol
0325-0075;1668-3501;Archivos argentinos de pediatria;Arch Argent Pediatr
0178-4609;;Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin;Fortschr Geb Rontgenstrahlen Nuklearmed Erganzungsbd
0301-8636;;Archives belges de dermatologie;Arch Belg Dermatol
0003-956X;;Archives belges de dermatologie et de syphiligraphie;Arch Belg Dermatol Syphiligr
0003-9578;;Archives belges de medecine sociale;Arch Belg Med Soc
0003-9861;1096-0384;Archives of biochemistry and biophysics;Arch
0003-9624;;Archives de biologie;Arch Biol
0385-0684;;Gan to kagaku ryoho;Gan To Kagaku Ryoho
0004-0533;;Archivos de biologia y medicina experimentales;Arch
0004-0657;;Archivum chirurgicum Neerlandicum;Arch Chir Neerl
0391-7029;;Archivio di chirurgia toracica e cardiovascolare;Arch Chir Torac Cardiovasc
0010-0641;;Archivos del Colegio Medico de El Salvador;Arch Col Med El Salv
0004-0061;;Archivio;Arch De Vecchi Anat Patol
0362-3505;;ARN journal;ARN J
0003-987X;1538-3652;Archives of dermatology;Arch Dermatol
0003-9187;;Archiv fur dermatologische Forschung;Arch Dermatol Forsch
0340-3696;1432-069X;Archives of dermatological research;Arch
0003-9888;1468-2044;Archives of disease in childhood;Arch
0004-0193;;Archivio;Arch Maragliano Patol Clin
0090-4341;1432-0703;Archives of environmental contamination and toxicology;Arch
0003-9896;;Archives of environmental health;Arch
0170-9925;;Archives of gynecology;Arch
0883-9417;1532-8228;Archives of psychiatric nursing;Arch Psychiatr Nurs
0932-0067;1432-0711;Archives of gynecology and obstetrics;Arch
0004-0436;;Archivo espanol de morfologia;Arch Esp Morfol
0304-8616;;Archivos de farmacologia y toxicologia;Arch Farmacol Toxicol
0004-0614;1576-8260;Archivos espanoles de urologia;Arch
0003-9055;;Archiv fur experimentelle Veterinarmedizin;Arch Exp Veterinarmed
0004-0096;;Archivio di fisiologia;Arch Fisiol
0003-9772;;Archives francaises des maladies de l;Arch Fr Mal App Dig
0003-9764;;Archives francaises de pediatrie;Arch
0016-271X;;Archivos de la Fundacion Roux;Arch Fund Roux Ocefa
0003-990X;1538-3636;Archives of general psychiatry;Arch
0300-984X;;Archiv fur Genetik;Arch Genet
0724-7842;;Archiv fur die gesamte Psychologie;Arch Gesamte Psychol
0003-9012;;Archiv fur die gesamte Virusforschung;Arch Gesamte Virusforsch
0003-911X;;Archiv fur Geschwulstforschung;Arch
0003-9128;;Archiv fur Gynakologie;Arch Gynakol
0004-0762;;Archiwum historii medycyny;Arch Hist Med
0518-3677;;Archivos de histologia normal y patologica;Arch Histol Norm Patol
0860-1844;;Archiwum historii i filozofii medycyny;Arch Hist Filoz Med
0004-0681;;Archivum histologicum Japonicum;Arch Histol Jpn
0003-9144;;Archiv fur Hygiene und Bakteriologie;Arch Hyg Bakteriol
0004-069X;1661-4917;Archivum immunologiae et therapiae experimentalis;Arch
0250-5037;;Archivos de biologia andina;Arch Biol Andina
0020-3750;;Archivos del Instituto de Biologia Andina;Arch Inst Biol Andina
0003-9985;1543-2165;Archives of pathology;Arch
0020-3785;;Archivos del Instituto de Cardiologia de Mexico;Arch Inst Cardiol Mex
0024-9629;;Archivos del Instituto de Farmacologia Experimental;Arch Inst Farmacol Exp
0167-4943;1872-6976;Archives of gerontology and geriatrics;Arch Gerontol Geriatr
0020-2460;;Archives de l;Arch Inst Pasteur Alger
0020-2495;1728-5348;Archives de l;Arch Inst Pasteur Madagascar
0020-2509;;Archives de l;Arch Inst Pasteur Tunis
0003-9780;;Archives internationales de pharmacodynamie et de therapie;Arch Int Pharmacodyn Ther
0003-9799;;Archives internationales de physiologie et de biochimie;Arch
0003-9926;1538-3679;Archives of internal medicine;Arch
0066-6769;;Archivos de investigacion medica;Arch Invest Med
0004-0223;;Archivio italiano di anatomia e di embriologia;Arch Ital Anat Embriol
0004-0231;;Archivio italiano di anatomia e istologia patologica;Arch Ital Anat Istol Patol
0003-9829;;Archives italiennes de biologie;Arch Ital Biol
0004-024X;;Archivio italiano di chirurgia;Arch Ital Chir
0300-8991;;Archivio italiano di dermatologia;Arch Ital Dermatol Venereol Sessuol
0365-3234;;Archivii italiani di laringologia;Arch Ital Laringol
0004-0215;;Archivio italiano delle malattie dell;Arch Ital Mal Appar Dig
0301-3685;;Archivio italiano di otologia;Arch Ital Otol Rinol Laringol Patol Cervicofacc
0004-0266;;Archivio italiano di patologia e clinica dei tumori;Arch Ital Patol Clin Tumori
0004-0274;;Archivio italiano di pediatria e puericoltura;Arch Ital Pediatr Pueric
0004-0282;;Archivio italiano di scienze mediche tropicali e di parassitologia;Arch Ital Sci Med Trop Parassitol
0004-0290;;Archivio italiano di urologia e nefrologia;Arch Ital Urol Nefrol
0003-9152;;Nihon geka hokan;Nihon Geka Hokan
0003-8881;;Archiv der Julius Klaus;Arch Julius Klaus Stift Vererbungsforsch Sozialanthropol Rassenhyg
0003-9179;;Archiv fur Kinderheilkunde;Arch Kinderheilkd
0300-8614;;Archiv fur klinische und experimentelle Dermatologie;Arch Klin Exp Dermatol
0003-9195;;Archiv fur klinische und experimentelle Ohren;Arch Klin Exp Ohren Nasen Kehlkopfheilkd
0365-3773;;Archiv fur klinische Medizin;Arch Klin Med
0003-9217;;Archiv fur Kreislaufforschung;Arch Kreislaufforsch
0003-9225;;Archiv fur Kriminologie;Arch Kriminol
0004-0622;;Archivos latinoamericanos de nutricion;Arch Latinoam Nutr
0365-4117;;Archives des maladies de l;Arch Mal Appar Dig Mal Nutr
