issn;e_issn;title;short_title;period;publisher
1005-9628;;ACTA ARACHNOLOGICA SINICA;ZHUXING XUEBAO;Semiannual;ARACHNOL SOC CHINA, HUBEI UNIV, 11 XUEYUAN RD., WUHAN, PEOPLES R CHINA, 430062
0065-101X;1600-0390;ACTA ARCHAEOLOGICA;;Annual;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0065-1036;1730-6264;ACTA ARITHMETICA;;Semimonthly;POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN, 8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656
0094-5765;;ACTA ASTRONAUTICA;ACTA ASTRONAUT;Monthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
0001-5237;;ACTA ASTRONOMICA;;Quarterly;COPERNICUS FOUNDATION POLISH  ASTRONOMY, AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478
1672-9145;1745-7270;ACTA BIOCHIMICA ET BIOPHYSICA SINICA;ACTA BIOCHIM BIOPHYS SIN (SHANGHAI);Monthly;OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP
0001-527X;1734-154X;ACTA BIOCHIMICA POLONICA;;Quarterly;ACTA BIOCHIMICA POLONICA, PASTEURA 3, WARSAW, POLAND, 02-093
1726-569X;1726-569X;ACTA BIOETHICA;ACTA BIOETH;Semiannual;UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA, DIAGONAL PARAGUAY #265, TORRE 15, PISO 8, SANTIAGO, CHILE, 00000
0001-5334;;ACTA BIOLOGIAE EXPERIMENTALIS SINICA;SHI YAN SHENG WU XUE BAO;Quarterly;ACAD SIN SHANGHAI, 320 YO YANG RD, SHANGHAI, PEOPLES R CHINA, 200031
0177-9214;;ACTA BIOLOGICA BENRODIS;;Semiannual;NATURKUNDLICHES HEIMATMUSEUM BENRATH, BENRATHER SCHLOSSALLEE 102, SCHLOSS BENRATH, DUSSELDORF, GERMANY, D-40597
0120-548X;;ACTA BIOLOGICA COLOMBIANA;ACTA BIOLO COLOMB;Semiannual;UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL, APARTADO AEREO 14490, BOGOTA, COLOMBIA, 00000
0001-5296;;ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;ACTA BIOL CRAC SER BOT;Semiannual;POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW, PL DEFILAD 1, WARSZAWA, POLAND, 00-901
0001-530X;;ACTA BIOLOGICA CRACOVIENSIA SERIES ZOOLOGIA;;Annual;POLISH ACAD SCIENCES, BIOLOGICAL COMMISSION, JUNCAL 2134 P B B, BUENOS AIRES, ARGENTINA, 00000
0567-7327;;ACTA BIOLOGICA DEBRECINA;;Irregular;KOSSUTH LAJOS TUDOMANYEGYETEM, MATEMATIKAI INTEZET NAGYERDEIKORUT, DEBRECEN, HUNGARY, 10
0236-8684;;ACTA BIOLOGICA DEBRECINA SUPPLEMENTUM OECOLOGICA HUNGARICA;;Irregular;L KOSSUTH UNIV, ECOLOGICAL INST, PO BOX 71, DEBRECEN, HUNGARY, H-4010
0236-5383;;ACTA BIOLOGICA HUNGARICA;ACTA BIOL HUNG;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
2319-1244;;ACTA BIOLOGICA INDICA;;Semiannual;ASSOC ADVANCEMENT BIODIVERSITY SCI, 533, KUNNUR, BELGAUM, INDIA, KARNATAKA, 591215
2072-9405;;ACTA BIOLOGICA PANAMENSIS;;Semiannual;COLEGIO BIOLOGOS PANAMA-COBIOPA, APARTADO POSTAL 0824-00077, PANAMA, PANAMA, 00000
0301-2123;;ACTA BIOLOGICA PARANAENSE;;Annual;UNIV FEDERAL PARANA, BIBLIOTECA CENTRAL, SECAO DE INTERCAMBIO, CAIXA POSTAL 19051, CURITIBA, BRAZIL, PR, 81531-980
0860-2441;;ACTA BIOLOGICA SILESIANA;;Irregular;WYDAWNICTWO UNIWERSYTETU SLASKIEGO, UL. BANKOWA 12B, KATOWICE, POLAND
1408-3671;1854-3073;ACTA BIOLOGICA SLOVENICA;ACTA BIOL SLOV;Irregular;DRUSTVO BIOLOGOV SLOVENIJE, VECNA POT 111, LJUBLJANA, SLOVENIA
1588-385X;1588-4082;ACTA BIOLOGICA SZEGEDIENSIS;;Annual;UNIV SZEGED, FAC SCIENCE, C/O E SZABO, EXCHANGE LIBRARIAN, DUGONICS TER 13, PO BOX 393, SZEGED, HUNGARY, 6701
1407-8953;;ACTA BIOLOGICA UNIVERSITATIS DAUGAVPILIENSIS;;Semiannual;UNIV DAUGAVPILS, VIENBAS 13, DAUGAVPILS, LATVIA, LV-5401
0001-5326;;ACTA BIOLOGICA VENEZUELICA;;Quarterly;UNIV CENTRAL VENEZUELA, INST ZOOLOGIA TROPICAL, APARTADO POSTAL 47058, CARACAS, VENEZUELA, 1041-A
1742-7061;1878-7568;ACTA BIOMATERIALIA;ACTA BIOMATER;Monthly;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0325-2957;;ACTA BIOQUIMICA CLINICA LATINOAMERICANA;;Quarterly;FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES, CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900
0001-5342;1572-8358;ACTA BIOTHEORETICA;ACTA BIOTHEOR;Quarterly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0800-3831;1503-111X;ACTA BOREALIA;;Semiannual;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1000-4025;;ACTA BOTANICA BOREALI-OCCIDENTALIA SINICA;XIBEI ZHIWU XUEBAO;Monthly;SHAANXI SCIENTIFIC & TECHNOLOGICAL PRESS, NO. 131, BEIDAJIE ST, XI'AN, PEOPLES R CHINA, 00000
0102-3306;1677-941X;ACTA BOTANICA BRASILICA;;Quarterly;SOC BOTANICA BRASIL, CAIXA POSTAL 3005, SAO PAULO SP, BRAZIL, 01061-970
0365-0588;1847-8476;ACTA BOTANICA CROATICA;ACTA BOT CROAT;Semiannual;UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY, C/O DAMIR VILICIC, EDITOR-IN-CHIEF, DEPARTMENT OF BOTANY, ROOSEVELTOV TRG 6, ZAGREB, CROATIA, 00000
0001-5369;;ACTA BOTANICA FENNICA;;Irregular;FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD, P O BOX 26, UNIV HELSINKI, FINLAND, FI-00014
1253-8078;;ACTA BOTANICA GALLICA;ACTA BOT GALLICA;Quarterly;SOC BOTANIQUE FRANCE, FACULTE DE PHARMACIE, BP 83, LILLE-CEDEX, FRANCE, F-59006
0236-6495;1588-2578;ACTA BOTANICA HUNGARICA;ACTA BOT HUNG;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
0374-5066;;ACTA BOTANICA ISLANDICA;;Irregular;NATTURUFRAEOISTOFNUN NOROURLANDS-AKUREYRI MUSEUM  NATURAL HISTORY, P O BOX 580, AKUREYRI, ICELAND, 00000
0210-9506;;ACTA BOTANICA MALACITANA;;Annual;UNIV MALAGA, FAC CIENCIAS, DEPT BIOLOGICA VEGETAL, APARTADO 59, MALAGA, SPAIN, 00000
0187-7151;;ACTA BOTANICA MEXICANA;;Quarterly;INST ECOLOGIA AC, CENTRO REGIONAL DEL BAJIO, APARTADO POSTAL 386, PATZCUARO, MEXICO, MICHOACAN, 61600
0084-5906;;ACTA BOTANICA VENEZUELICA;ACTA BOT. VENEZ.;Irregular;FUNDACION INST BOTANICO VENEZUELA DR TOBIAS LASSER, JARDIN BOTANICO CARACAS, AV SALVADOR ALLENDE  APARTADO 2156, CARACAS, VENEZUELA, 00000
0001-5385;1784-973X;ACTA CARDIOLOGICA;ACTA CARDIOL;Bimonthly;ACTA CARDIOLOGICA, AVENUE CIRCULAIRE 138A, BRUSSELS, BELGIUM, 1180
1011-6842;;ACTA CARDIOLOGICA SINICA;;Quarterly;TAIWAN SOC CARDIOLOGY, 13F-1, NO. 11, MIN-CHUAN WEST ROAD, TAIPEI, TAIWAN, 104
1804-2732;;ACTA CARPATHICA OCCIDENTALIS;;Irregular;MUZEUM REGIONU VALASSKO, HORNI NAMESTI 2, VSETIN, CZECH REPUBLIC, 755 01
0583-6050;1580-2612;ACTA CARSOLOGICA;;Tri-annual;KARST RESEARCH INST ZRC SAZU, TITOV TRG 2, POSTOJNA, SLOVENIA, SI-6230
0567-7351;;ACTA CHIMICA SINICA;;Monthly;SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717
1318-0207;1580-3155;ACTA CHIMICA SLOVENICA;ACTA CHIM SLOV;Quarterly;SLOVENSKO KEMIJSKO DRUSTVO, HAJDRIHOVA 19, LJUBLJANA, SLOVENIA, 1000
1508-1109;;ACTA CHIROPTEROLOGICA;ACTA CHIROPT.;Semiannual;MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES, WILCZA STREET 64, WARSAW, POLAND, 00-679
0001-5415;;ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA;ACTA CHIR ORTHOP TRAUMATOL CECH;Bimonthly;GALEN SRO, NA BELIDLE 34, PRAGUE 5, CZECH REPUBLIC, 150 00
0001-5458;;ACTA CHIRURGICA BELGICA;ACTA CHIR BELG;Bimonthly;ACTA MEDICAL BELGICA, AVENUE CIRCULAIRE 138 A, BRUSSELS, BELGIUM, B-1180
1233-2356;;ACTA CHROMATOGRAPHICA;;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
0001-5504;;ACTA CIENTIFICA VENEZOLANA;ACTA CIENT VENEZ;Quarterly;ASOCIACION VENEZOLANA PARA EL AVANCE DE LA CIENCIA, APARTADO POSTAL 47286, CARACAS, VENEZUELA, 1041
0102-8650;1678-2674;ACTA CIRURGICA BRASILEIRA;ACTA CIR BRAS;Bimonthly;ACTA CIRURGICA BRASILEIRA, ALAMEDA RIO CLARO, 179-41, SAO PAULO, BRAZIL, SP, 01332-010
0065-1141;;ACTA CLASSICA;ACTA CL;Annual;UNIV FREE STATE, DEPT ENG CLASSICAL LANG, PO BOX 339, BLOEMFONTEIN, SOUTH AFRICA, 9300
1784-3286;2295-3337;ACTA CLINICA BELGICA;ACTA CLIN BELG;Bimonthly;MANEY PUBLISHING, STE 1C, JOSEPHS WELL, HANOVER WALK, LEEDS, ENGLAND, W YORKS, LS3 1AB
0353-9466;1333-9451;ACTA CLINICA CROATICA;ACTA CLIN CROAT;Quarterly;SESTRE MILOSRDNICE UNIV HOSPITAL, VINOGRADSKA C 29, ZAGREB, CROATIA, HR-10000
0178-7217;;ACTA COLEOPTEROLOGICA-MUNICH;;Semiannual;SOC COLEOPTEROLOGICA E V, C/O INGO WOLF, SECRETARY, ENHUBERSTR 3, MUNICH, GERMANY, 8000
0721-1635;;ACTA CONCHYLIORUM;;Irregular;CLUB CONCHYLIA E V, MAINZER STR 25, HACKENHEIM, GERMANY, 55546
0108-7673;1600-5724;ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES;ACTA CRYSTALLOGR A;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0108-7681;1600-5740;ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0108-2701;1600-5759;ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY;ACTA CRYSTALLOGR C;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1399-0047;1399-0047;ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY;ACTA CRYSTALLOGR D BIOL CRYSTALLOGR;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1744-3091;;ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS;ACTA CRYSTALLOGR SECT F STRUCT BIOL CRYST COMMUN;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0001-5555;1651-2057;ACTA DERMATO-VENEREOLOGICA;ACTA DERM VENEREOL;Bimonthly;ACTA DERMATO-VENEREOLOGICA, TRADGARDSGATAN 14, UPPSALA, SWEDEN, SE-753 09
1330-027X;1847-6538;ACTA DERMATOVENEROLOGICA CROATICA;ACTA DERMATOVENEROL CROAT;Quarterly;CROATION DERMATOVENEROLOGICAL SOC, ZAGREB UNIV HOSPITAL CTR, UNIV DEPT DERMATOLOGY & VENEROLOGY, SALATA 4, ZAGREB, CROATIA, 10000
0940-5429;1432-5233;ACTA DIABETOLOGICA;ACTA DIABETOL;Bimonthly;SPRINGER-VERLAG ITALIA SRL, VIA DECEMBRIO, 28, MILAN, ITALY, 20137
1000-0933;;ACTA ECOLOGICA SINICA;SHENG TAI XUE BAO;Bimonthly;SCIENCE PRESS, 300 WEST CHESNUT ST, EPHRATA, USA, PA, 17522
1841-0987;;ACTA ENDOCRINOLOGICA-BUCHAREST;;Quarterly;EDITURA ACAD ROMANE, CALEA 13 SEPTEMBRIE NR 13, SECTOR 5, BUCURESTI, ROMANIA, 050711
1310-5914;;ACTA ENTOMOLOGICA BULGARICA;;Irregular;BULGARIAN ENTOMOLOGICAL SOC, 132 ST. KL. OHRIDSKI BLVD, SOFIA, BULGARIA, 1756
0716-5072;;ACTA ENTOMOLOGICA CHILENA;;Annual;INST ENTOMOLOGIA, FAC CIENCIAS BASICAS, UNIV METROPOLITANA DE CIENCIAS EDUCACION, CASILLA 147, SANTIAGO, CHILE, 00000
0374-1036;1804-6487;ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE;ACTA ENTOMOL MUS NATL PRAGAE;Semiannual;NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM, KUNRATICE, PRAHA, CZECH REPUBLIC, CZ-148 00
0354-9410;;ACTA ENTOMOLOGICA SERBICA;;Semiannual;ENTOMOLOGICAL SOC SERBIA, FACULTY FORESTRY, KNEZA VISESLAVA 1, BEOGRAD, YUGOSLAVIA, YU-11030
1230-7777;;ACTA ENTOMOLOGICA SILESIANA;;Irregular;SILESIAN ENTOMOLOGICAL SOC, C/O DEPT NATURAL HISTORY, UPPER SILESIAN MUSEUM, 2 SOBIESKI SQ., BYTOM, POLAND, 41-902
0454-6296;;ACTA ENTOMOLOGICA SINICA;KUN CHONG XUE BAO;Monthly;SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717
1318-1998;;ACTA ENTOMOLOGICA SLOVENICA;;Semiannual;SLOVENSKO ENTOMOLOSKO DRUSTVO STEFANA MICHIELIJA V LJUBLJANI, BIOLOSKI INSTITUT JOVANA HADZIJA ZRC SAZU, NOVI TRG 5, LJUBLJANA, SLOVENIA, SI-1000
0873-9749;1437-9546;ACTA ETHOLOGICA;ACTA ETHOL;Semiannual;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0001-5644;;ACTA GASTRO-ENTEROLOGICA BELGICA;;Quarterly;UNIV CATHOLIQUE LOUVAIN-UCL, CLIN UNIV SAINT LUC, AVE HIPPOCRATE 10, BRUSSELS, BELGIUM, B-1200
2213-5812;2213-5820;ACTA GEODAETICA ET GEOPHYSICA;;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
1214-9705;;ACTA GEODYNAMICA ET GEOMATERIALIA;;Quarterly;ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS, IRSM AS CR, V HOLESOVICKACH 41, PRAGUE 8, CZECH REPUBLIC, 182 09
1581-6613;1581-8314;ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK;;Semiannual;GEOGRAFSKI INST ANTONA MELIKA ZRC SAZU, GOSPOSKA ULICA 13, LJUBLJANA, SLOVENIA, SI-1000
0567-7513;;ACTA GEOLOGICA LILLOANA;;Irregular;FUNDACION MIGUEL LILLO, MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA
0001-5709;;ACTA GEOLOGICA POLONICA;;Quarterly;POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT, PL DEFILAD 1, WARSZAWA, POLAND, 00-901
1000-9515;;ACTA GEOLOGICA SINICA-ENGLISH EDITION;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1338-0044;;ACTA GEOLOGICA SLOVACA;;Semiannual;UNIV KOMENSKEHO, MLYNSKA DOLINA B-1, BRATISLAVA, SLOVAKIA, 842 15
1895-6572;1895-7455;ACTA GEOPHYSICA;;Bimonthly;DE GRUYTER OPEN LTD, SOLIPSKA 14A-1, WARSAW, POLAND, 02-482
1006-3021;;ACTA GEOSCIENTIA SINICA;;Bimonthly;ED DEPT ACTA GEOSCIENTIA SINICA, NO 26 BAIWANZHUANG RD, BEIJING, PEOPLES R CHINA, 100037
1861-1125;1861-1133;ACTA GEOTECHNICA;;Quarterly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
1854-0171;;ACTA GEOTECHNICA SLOVENICA;;Semiannual;UNIV MARIBOR, FAC CIVIL ENGINEERING, SMETANOVA ULICA 17, MARIBOR, SLOVENIA, 2000
1695-6370;;ACTA GRANATENSE;;Semiannual;SOC GRANATENSE HIST NAT, SOC GRANATENSE HIST NAT, GRANADA, SPAIN, CAJAR, 00000
0001-5792;1421-9662;ACTA HAEMATOLOGICA;ACTA HAEMATOL;Bimonthly;KARGER, ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009
0001-5814;;ACTA HAEMATOLOGICA POLONICA;ACTA HAEMATOL POL;Quarterly;POLSKIE TOWARZYSTWO HEMATOLOGOW I TRANSFUZJOLOGOW, C/O KLINIKA HEMATOLOGII, INSTYTUTU CHOROB WEWNETRZNYCH, UL. PABIANICKA 62,LODZ, POLAND
1827-9635;1827-9643;ACTA HERPETOLOGICA;ACTA HERPETOL;Semiannual;FIRENZE UNIV PRESS, JOURNALS DIVISION, BORGO ALBIZI, 28, FIRENZE, ITALY, 50122
0065-1281;1618-0372;ACTA HISTOCHEMICA;ACTA HISTOCHEM;Bimonthly;ELSEVIER GMBH, URBAN & FISCHER VERLAG, OFFICE JENA, P O BOX 100537, JENA, GERMANY, 07705
0044-5991;1347-5800;ACTA HISTOCHEMICA ET CYTOCHEMICA;ACTA HISTOCHEM CYTOCHEM;Bimonthly;JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY, C/O NAKANISHI PRINTING CO LTD, SHIMODACHIURI-OGAWA, KAMIGYO-KU, KYOTO, JAPAN, 602-8048
1406-2925;1736-7476;ACTA HISTORICA TALLINNENSIA;;Annual;ESTONIAN ACADEMY PUBLISHERS, 6 KOHTU, TALLINN, ESTONIA, 10130
1318-0185;;ACTA HISTRIAE;;Tri-annual;UNIV PRIMORSKA, SCI RES CENTRE KOPER, GARIBALDIJEVA 1, KOPER, SLOVENIA, CAPODISTRIA, SI-6000
1000-3207;;ACTA HYDROBIOLOGICA SINICA;SHUI SHENG SHENG WU HSUEH BAO;Irregular;CHINESE ACAD SCIENCES, NO. 33 BEISIHUANXILU,  ZHONGGUANCUN, BEIJING, PEOPLES R CHINA, 100080
0137-1592;1734-1515;ACTA ICHTHYOLOGICA ET PISCATORIA;;Quarterly;WYDAWNICTWO AKAD ROLNICZEJ W SZCZECINIE, KAZIMIERZA KROLEWICZA 4, SZCZECIN, POLAND, 71550
0001-5903;1432-0525;ACTA INFORMATICA;;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
1520-7412;;ACTA KOREANA;;Semiannual;ACADEMIA KOREANA KEIMYUNG UNIV, 1095 DALGUBEOLDAERO, DALSEO-GU, DAEGU, SOUTH KOREA, 704-701
2179-975X;;ACTA LIMNOLOGICA BRASILIENSIA;;Annual;FUNDACAO BIODIVERSITAS, RUA MARIA VAZ DE MELO, 71, BELO HORIZONTE, BRAZIL, MG, 31260-110
1216-8076;1588-2624;ACTA LINGUISTICA HUNGARICA;ACTA LINGUIST HUNG;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
0717-6848;0716-0909;ACTA LITERARIA;;Semiannual;UNIV CONCEPCION, FAC HUMANIDADES ARTE, CASILLA 160-C, CORREO 3, CONCEPCION, CHILE, 00000
0065-1370;;ACTA MANILANA;;Annual;SANTO TOMAS UNIV PRESS, RESEARCH CENTER FOR THE NATURAL SCIENCES, UNIVERSITY OF SANTO TOMAS, ESPANA, MANILA, PHILIPPINES, 00000
1359-6454;;ACTA MATERIALIA;ACTA MATER;Semimonthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
0001-5962;;ACTA MATHEMATICA;;Quarterly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0236-5294;1588-2632;ACTA MATHEMATICA HUNGARICA;;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0252-9602;;ACTA MATHEMATICA SCIENTIA;;Bimonthly;ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, USA, NY, 10010-1710
1439-8516;1439-7617;ACTA MATHEMATICA SINICA-ENGLISH SERIES; ENGLISH SERIES;Monthly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0168-9673;1618-3932;ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES;ACTA MATH APPL SIN;Quarterly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0001-5970;1619-6937;ACTA MECHANICA;ACTA MECH;Monthly;SPRINGER WIEN, SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201
0567-7718;1614-3116;ACTA MECHANICA SINICA;ACTA MECH SIN;Bimonthly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0894-9166;1860-2134;ACTA MECHANICA SOLIDA SINICA;;Bimonthly;ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, USA, NY, 10010-1710
0567-7734;;ACTA MEDICA ET BIOLOGICA;ACTA MED BIOL (NIIGATA);Quarterly;NIIGATA UNIV SCH MEDICINE, ASAHIMACHI-DORI 1-754, NIIGATA, JAPAN, 00000
0393-6384;;ACTA MEDICA MEDITERRANEA;;Tri-annual;CARBONE EDITORE, VIA QUINTINO SELLA, 68, PALERMO, ITALY, 90139
0001-6055;;ACTA MEDICA NAGASAKIENSIA;ACTA MED NAGASAKI;Quarterly;NAGASAKI UNIV SCH MEDICINE, 1-12-4 SAKAMOTO, NAGASAKI, JAPAN, 00000
0386-300X;;ACTA MEDICA OKAYAMA;ACTA MED OKAYAMA;Bimonthly;OKAYAMA UNIV MED SCHOOL, EDITORIAL OFFICE, ACTA MEDICA OKAYAMA OKAYAMA UNIVERSITY MEDICAL SCHOOL 2-5-1 SHIKATA-CHO, KITA-KU, OKAYAMA, JAPAN, 700-8558
1646-0758;1646-0758;ACTA MEDICA PORTUGUESA;ACTA MED PORT;Bimonthly;ORDEM MEDICOS, AV ALMIRANTE GAGO COUTINHO, 151, LISBON, PORTUGAL, 1749-084
0412-1961;;ACTA METALLURGICA SINICA;;Monthly;SCIENCE PRESS, 16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717
1006-7191;;ACTA METALLURGICA SINICA-ENGLISH LETTERS;;Bimonthly;CHINESE ACAD SCIENCES, INST METAL RESEARCH, 72 WENHUA RD, SHENYANG, PEOPLES R CHINA, 110016
1217-8950;;ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA;ACTA MICROBIOL IMMUNOL HUNG;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
1000-0674;;ACTA MICROPALAEONTOLOGICA SINICA;WEI TI GU SHENG WU XUE BAO;Quarterly;CHINESE ACAD SCIENCES, NO. 33 BEISIHUANXILU,  ZHONGGUANCUN, BEIJING, PEOPLES R CHINA, 100080
0798-4545;;ACTA MICROSCOPICA;;Semiannual;COMITE INTERAMERICANO SOC MICROSCOPIA ELECTRONICA-CIASEM, CARRETERA PANAMERICANA KM 11, APARTADO POSTAL 20632, CARACAS, VENEZUELA, 1020-A
1335-1788;;ACTA MONTANISTICA SLOVACA;;Quarterly;BERG FAC TECHNICAL UNIV KOSICE, PARK KOMENSKEHO 19, KOSICE, SLOVAKIA, 043 84
1311-8773;;ACTA MORPHOLOGICA ET ANTHROPOLOGICA;;Annual;MARIN DRINOV ACAD PUBL HOUSE, ACAD GEORGI BONCHEV ST, BL 6, SOFIA, BULGARIA, 1113
1802-7555;;ACTA MUSAEI NEOSTADENI BOHEMIAE;;Annual;MESTSKE MUZEUM NOVE MESTO NAD METUJI, NA ZADOMI 1226, NOVE MESTO NAD METUJI, CZECH REPUBLIC, 00000
1842-2691;;ACTA MUSEI BRUKENTHAL;;Annual;MUZEUL NATL BRUKENTHAL, MUZEUL DE ISTORIE NATURALA, STR CETATII NR 1, SIBIU, ROMANIA, RO-550160
1211-8788;;ACTA MUSEI MORAVIAE SCIENTIAE BIOLOGICAE;;Annual;MORAVSKE ZEMSKE MUZEUM, ZELNY TRH 6, BRNO, CZECH REPUBLIC, 659 37
1211-8796;;ACTA MUSEI MORAVIAE SCIENTIAE GEOLOGICAE;;Annual;MORAVSKE ZEMSKE MUZEUM, ZELNY TRH 6, BRNO, CZECH REPUBLIC, 659 37
0439-6812;;ACTA MUSEI REGINAEHRADECENSIS SERIES A SCIENTIAE NATURALES;;Irregular;MUZEUM VYCHODNICH CECH, ELISCINO NABREZI, HRADEC KRALOVE, CZECH REPUBLIC, 465 500 01
0001-6241;;ACTA MUSICOLOGICA;;Semiannual;INT MUSICOLOGICAL SOC, BOX 561, BASEL, SWITZERLAND, CH-4001
0001-625X;;ACTA MYCOLOGICA;ACTA MYCOL;Semiannual;POLSKIE TOWARZYSTWO BOTANICZNE, AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478
2075-8251;;ACTA NATURAE;ACTA NATURAE;Quarterly;RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION, NAUCHNY PARK MGU, VLAD 1, STROENIYE 75G, LENINSKIYE GORY, MOSCOW, RUSSIA, 119991
1788-9413;;ACTA NATURALIA PANNONICA;;Semiannual;REGIOGRAFO INTEZET, REGIOGRAFO INTEZET, KOMLO, HUNGARY, 00000
